-0.000000,0.000401,0.475732,0.000508,-0.000000,-0.000000,-0.000000,ovf,0.000003,-0.061419,-0.000000,ovf,0.000000,ovf,-251194.359375,ovf,-0.000001,ovf
1.710000,5.326809,0.000000,-0.000832,0.024752,0.000000,-0.003447,-0.029563,5.597630,0.045237,0.123105,-92.864578,0.000026,-0.001430,0.000000,0.000000,0.000000,0.000000
-3.440000,-7.454638,0.000000,-0.000393,-0.049794,0.000000,-0.003473,0.059659,-7.966793,0.046667,-0.278003,118.110603,0.000010,0.001487,0.000000,0.000000,0.000000,0.000000
-5.920000,-3.589806,0.000000,-0.000179,-0.085692,0.000000,-0.003484,0.108444,-3.908542,0.045180,-0.554314,52.825905,0.000219,-0.000502,0.000000,0.000000,0.000000,0.000000
-1.210000,6.817738,0.000000,-0.000072,-0.017515,0.000000,-0.003703,0.023329,7.564988,0.045682,-0.128761,-94.690353,0.000206,-0.002140,0.000000,0.000000,0.000000,0.000000
-0.750000,0.665851,0.000000,0.000233,-0.010856,0.000000,-0.003909,0.015702,0.751600,0.047822,-0.092396,-8.823833,0.000056,-0.000413,0.000000,0.000000,0.000000,0.000000
-8.570000,-18.817532,0.000000,-0.001660,-0.124051,0.000000,-0.002524,0.125405,-18.968102,0.038242,-0.223877,734.024048,-0.000020,0.013294,0.000000,0.000000,0.000000,0.000000
-3.500000,7.338838,0.000000,-0.001904,-0.050663,0.000000,-0.002504,0.049924,7.396648,0.024948,-0.089125,-286.234100,0.000275,-0.005685,0.000000,0.000000,0.000000,0.000000
-3.100000,0.579001,0.000000,-0.001779,-0.044873,0.000000,-0.002779,0.045064,0.586882,0.030634,-0.109560,-16.676832,0.000133,-0.000602,0.000000,0.000000,0.000000,0.000000
-1.640000,2.113353,0.000000,-0.001649,-0.023739,0.000000,-0.002912,0.023742,2.164651,0.031235,-0.072331,-49.086330,0.000105,-0.001124,0.000000,0.000000,0.000000,0.000000
-0.810000,1.201427,0.000000,-0.001465,-0.011725,0.000000,-0.003017,0.011401,1.244289,0.032359,-0.041336,-23.709457,0.000054,-0.000559,0.000000,0.000000,0.000000,0.000000
3.200000,5.804485,0.000000,-0.001256,0.046320,0.000000,-0.003071,-0.054973,6.100679,0.032918,0.228920,-101.210167,-0.000033,-0.001296,0.000000,0.000000,0.000000,0.000000
-1.590000,-6.933537,0.000000,-0.000882,-0.023015,0.000000,-0.003038,0.026730,-7.409075,0.034214,-0.124557,109.842232,-0.000068,0.001745,0.000000,0.000000,0.000000,0.000000
8.600000,14.750051,0.000000,-0.000720,0.124485,0.000000,-0.002970,-0.158780,16.044254,0.032469,0.811602,-216.846176,-0.000126,-0.001914,0.000000,0.000000,0.000000,0.000000
-5.250000,-20.047911,0.000000,-0.000130,-0.075994,0.000000,-0.002844,0.101463,-22.258518,0.034383,-0.560002,278.608124,-0.000147,0.003764,0.000000,0.000000,0.000000,0.000000
-0.380000,7.049337,0.000000,-0.000127,-0.005501,0.000000,-0.002698,0.007609,7.999515,0.030618,-0.044775,-93.914787,0.000172,-0.001906,0.000000,0.000000,0.000000,0.000000
-1.080000,-5.095209,0.000000,-0.000263,-0.015633,0.000000,-0.000801,0.015795,-5.136320,0.023186,-0.028197,198.764389,-0.000055,0.003691,0.000000,0.000000,0.000000,0.000000
-4.410000,-4.820183,0.000000,-0.000249,-0.063835,0.000000,-0.000747,0.065106,-4.859010,0.019495,-0.116229,188.033081,0.000084,0.003239,0.000000,0.000000,0.000000,0.000000
-6.430000,-2.923955,0.000000,-0.000271,-0.093074,0.000000,-0.000831,0.097048,-2.968945,0.016256,-0.235942,84.365440,0.000206,0.000953,0.000000,0.000000,0.000000,0.000000
-4.700000,2.504179,0.000000,-0.000389,-0.068033,0.000000,-0.001037,0.072703,2.565695,0.015303,-0.221494,-58.180531,0.000245,-0.001703,0.000000,0.000000,0.000000,0.000000
