-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
8.130000,15.647503,0.000000,-0.001737,0.117682,0.000000,-0.003409,-0.132710,16.222347,0.035168,0.481155,-309.110657,-0.000052,-0.004548,0.000000,0.000000,0.000000,0.000000
2.650000,-7.932314,0.000000,-0.001112,0.038359,0.000000,-0.003357,-0.045608,-8.341373,0.039717,0.189922,138.383240,-0.000281,0.003142,0.000000,0.000000,0.000000,0.000000
-6.370000,-13.056474,0.000000,-0.000735,-0.092206,0.000000,-0.003075,0.110465,-13.950427,0.036574,-0.514753,206.820129,0.000035,0.002518,0.000000,0.000000,0.000000,0.000000
3.380000,14.113150,0.000000,-0.000749,0.048926,0.000000,-0.003111,-0.062995,15.351276,0.034056,0.322001,-207.480240,0.000120,-0.003062,0.000000,0.000000,0.000000,0.000000
-2.990000,-9.220592,0.000000,-0.000355,-0.043280,0.000000,-0.003231,0.057410,-10.238840,0.037119,-0.316864,128.158752,-0.000039,0.001575,0.000000,0.000000,0.000000,0.000000
-3.770000,-1.129052,0.000000,-0.000233,-0.054571,0.000000,-0.003192,0.076941,-1.284502,0.035543,-0.452758,15.080132,0.000184,-0.000942,0.000000,0.000000,0.000000,0.000000
-0.180000,5.196534,0.000000,-0.000145,-0.002606,0.000000,-0.003376,0.003701,6.040565,0.036485,-0.022980,-67.207962,0.000124,-0.001333,0.000000,0.000000,0.000000,0.000000
-4.330000,-21.017736,0.000000,-0.000618,-0.062677,0.000000,-0.001187,0.063602,-21.185503,0.024800,-0.113543,819.832703,-0.000229,0.015219,0.000000,0.000000,0.000000,0.000000
-1.890000,3.531906,0.000000,-0.000728,-0.027358,0.000000,-0.000958,0.027267,3.559782,0.009581,-0.048677,-137.755783,0.000142,-0.002768,0.000000,0.000000,0.000000,0.000000
-2.190000,-0.434251,0.000000,-0.000696,-0.031700,0.000000,-0.001100,0.032423,-0.441223,0.012349,-0.078826,12.537789,0.000079,0.000029,0.000000,0.000000,0.000000,0.000000
0.420000,3.777982,0.000000,-0.000683,0.006080,0.000000,-0.001179,-0.007268,3.871276,0.012320,0.022144,-87.786324,0.000053,-0.001602,0.000000,0.000000,0.000000,0.000000
