0.475724,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,ovf,0.000000,ovf,-259390.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-9.430000,-9.017941,0.000000,-0.002028,-0.136499,0.000000,-0.004103,0.144530,-9.243619,0.050264,-0.440319,209.611313,0.000216,0.002776,0.000000,0.000000,0.000000,0.000000
5.390000,21.451988,0.000000,-0.002030,0.078020,0.000000,-0.004319,-0.088960,22.240036,0.047488,0.322535,-423.775421,0.000180,-0.007157,0.000000,0.000000,0.000000,0.000000
2.230000,-4.574108,0.000000,-0.001393,0.032279,0.000000,-0.004499,-0.038907,-4.811684,0.054645,0.162019,79.825752,-0.000197,0.001963,0.000000,0.000000,0.000000,0.000000
-3.730000,-8.627115,0.000000,-0.000905,-0.053992,0.000000,-0.004303,0.064111,-9.219563,0.052682,-0.298748,136.683365,-0.000001,0.001776,0.000000,0.000000,0.000000,0.000000
-1.740000,2.880530,0.000000,-0.000679,-0.025187,0.000000,-0.004302,0.031080,3.130235,0.050906,-0.158864,-42.306702,0.000143,-0.001234,0.000000,0.000000,0.000000,0.000000
-1.840000,-0.144750,0.000000,-0.000374,-0.026634,0.000000,-0.004445,0.035121,-0.164637,0.052140,-0.193845,2.060750,0.000092,-0.000483,0.000000,0.000000,0.000000,0.000000
-1.850000,-0.014475,0.000000,-0.000077,-0.026779,0.000000,-0.004537,0.037809,-0.020859,0.052623,-0.222486,0.244885,0.000102,-0.000596,0.000000,0.000000,0.000000,0.000000
-13.130000,-19.859735,0.000000,-0.001664,-0.190057,0.000000,-0.002539,0.192985,-20.018602,0.038701,-0.344523,774.676208,0.000143,0.013738,0.000000,0.000000,0.000000,0.000000
-0.710000,17.977982,0.000000,-0.002086,-0.010277,0.000000,-0.002682,0.008387,18.120413,0.024964,-0.014974,-701.220337,0.000366,-0.013344,0.000000,0.000000,0.000000,0.000000
-5.000000,-6.209786,0.000000,-0.001777,-0.072375,0.000000,-0.003047,0.073827,-6.305359,0.038307,-0.179487,179.172852,0.000080,0.002932,0.000000,0.000000,0.000000,0.000000
-3.440000,2.258104,0.000000,-0.001684,-0.049794,0.000000,-0.003127,0.051708,2.312815,0.035375,-0.157532,-52.446156,0.000184,-0.001425,0.000000,0.000000,0.000000,0.000000
0.740000,6.050561,0.000000,-0.001533,0.010712,0.000000,-0.003311,-0.013607,6.271806,0.036800,0.049334,-119.506882,0.000082,-0.002127,0.000000,0.000000,0.000000,0.000000
6.970000,9.017941,0.000000,-0.001208,0.100891,0.000000,-0.003392,-0.117974,9.478633,0.038927,0.491269,-157.250366,-0.000140,-0.001645,0.000000,0.000000,0.000000,0.000000
4.440000,-3.662181,0.000000,-0.000623,0.064269,0.000000,-0.003252,-0.078366,-3.914811,0.040571,0.365179,58.038486,-0.000286,0.002090,0.000000,0.000000,0.000000,0.000000
0.130000,-6.238736,0.000000,-0.000151,0.001882,0.000000,-0.002967,-0.002578,-6.789782,0.038482,0.013179,91.767311,-0.000135,0.001769,0.000000,0.000000,0.000000,0.000000
-2.850000,-4.313557,0.000000,0.000136,-0.041254,0.000000,-0.002832,0.055356,-4.791636,0.036712,-0.305525,59.976521,0.000059,0.000306,0.000000,0.000000,0.000000,0.000000
1.910000,6.890112,0.000000,0.000298,0.027647,0.000000,-0.002891,-0.038726,7.817977,0.036406,0.227884,-91.783524,0.000043,-0.001122,0.000000,0.000000,0.000000,0.000000
-3.170000,-29.847504,0.000000,-0.000965,-0.045886,0.000000,-0.001691,0.046070,-30.085657,0.031758,-0.082245,1164.249146,-0.000445,0.021825,0.000000,0.000000,0.000000,0.000000
1.240000,6.383486,0.000000,-0.001013,0.017949,0.000000,-0.001246,-0.019415,6.434045,0.009934,0.034661,-248.983490,0.000070,-0.004661,0.000000,0.000000,0.000000,0.000000
-7.950000,-13.302548,0.000000,-0.000839,-0.115076,0.000000,-0.001316,0.119462,-13.505175,0.014595,-0.290434,383.762604,0.000067,0.006489,0.000000,0.000000,0.000000,0.000000
-6.660000,1.867278,0.000000,-0.001103,-0.096404,0.000000,-0.001384,0.102430,1.913411,0.008105,-0.312057,-43.389133,0.000313,-0.001678,0.000000,0.000000,0.000000,0.000000
1.980000,12.506423,0.000000,-0.001315,0.028661,0.000000,-0.001697,-0.033312,12.966819,0.009783,0.120775,-247.077805,0.000155,-0.004349,0.000000,0.000000,0.000000,0.000000
3.740000,2.547604,0.000000,-0.001155,0.054137,0.000000,-0.001852,-0.063888,2.677799,0.014132,0.266046,-44.424637,-0.000122,-0.000113,0.000000,0.000000,0.000000,0.000000
1.610000,-3.083180,0.000000,-0.000928,0.023305,0.000000,-0.001729,-0.029264,-3.294372,0.014245,0.136368,48.840263,-0.000141,0.001294,0.000000,0.000000,0.000000,0.000000
1.190000,-0.607951,0.000000,-0.000798,0.017225,0.000000,-0.001588,-0.022857,-0.661954,0.012951,0.116833,8.946643,-0.000074,0.000483,0.000000,0.000000,0.000000,0.000000
4.140000,4.270133,0.000000,-0.000692,0.059927,0.000000,-0.001514,-0.081074,4.739828,0.012468,0.447470,-59.328045,-0.000129,0.000086,0.000000,0.000000,0.000000,0.000000
4.130000,7.179613,0.000000,0.001296,0.059782,0.000000,0.001155,-0.059865,7.236521,0.004958,0.106873,-280.037598,-0.000025,-0.005014,0.000000,0.000000,0.000000,0.000000
-5.430000,-13.838124,0.000000,0.001472,-0.078599,0.000000,0.001180,0.081985,-13.948504,0.009971,-0.146361,539.776672,-0.000042,0.009834,0.000000,0.000000,0.000000,0.000000
