-0.000000,0.000000,0.951464,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,-251196.359375,ovf,-0.000000,ovf
-11.360000,-14.301324,0.000000,0.000784,-0.164436,0.000000,0.000609,0.169189,-14.415274,0.006807,-0.302041,557.839661,0.000185,0.009746,0.000000,0.000000,0.000000,0.000000
-0.150000,16.226503,0.000000,0.000357,-0.002171,0.000000,0.000424,0.002588,16.355610,-0.002938,-0.004621,-632.926392,0.000316,-0.012015,0.000000,0.000000,0.000000,0.000000
2.790000,4.255658,0.000000,0.000447,0.040385,0.000000,0.000108,-0.041765,4.319981,0.009077,0.101538,-122.756432,-0.000032,-0.002028,0.000000,0.000000,0.000000,0.000000
-6.720000,-13.765748,0.000000,0.000676,-0.097272,0.000000,0.000140,0.105275,-14.107891,0.011104,-0.320727,319.915161,0.000018,0.005194,0.000000,0.000000,0.000000,0.000000
3.190000,14.344750,0.000000,0.000480,0.046175,0.000000,0.000122,-0.050781,14.872679,0.005910,0.184111,-283.393250,0.000144,-0.004878,0.000000,0.000000,0.000000,0.000000
10.150000,10.074617,0.000000,0.000726,0.146922,0.000000,-0.000022,-0.168926,10.590661,0.010788,0.703447,-175.698883,-0.000257,-0.001415,0.000000,0.000000,0.000000,0.000000
-1.390000,-16.704180,0.000000,0.001277,-0.020120,0.000000,0.000234,0.025841,-17.846392,0.012203,-0.120414,264.579254,-0.000268,0.004687,0.000000,0.000000,0.000000,0.000000
-2.010000,-0.897452,0.000000,0.001342,-0.029095,0.000000,0.000502,0.038599,-0.977521,0.007516,-0.197296,13.211685,0.000086,-0.000292,0.000000,0.000000,0.000000,0.000000
-1.470000,0.781651,0.000000,0.001390,-0.021278,0.000000,0.000416,0.030318,0.866293,0.007808,-0.167332,-10.843323,0.000098,-0.000657,0.000000,0.000000,0.000000,0.000000
-0.130000,1.939654,0.000000,0.001470,-0.001882,0.000000,0.000317,0.004747,2.200027,0.008466,-0.027931,-25.828447,0.000054,-0.000563,0.000000,0.000000,0.000000,0.000000
0.080000,0.303976,0.000000,0.001616,0.001158,0.000000,0.000263,0.000690,0.351364,0.009029,-0.004283,-3.909312,0.000008,-0.000085,0.000000,0.000000,0.000000,0.000000
0.300000,0.318451,0.000000,0.001782,0.004343,0.000000,0.000255,-0.004105,0.377595,0.009114,0.026664,-4.015666,-0.000004,-0.000004,0.000000,0.000000,0.000000,0.000000
-2.240000,-5.428134,0.000000,-0.000069,-0.032424,0.000000,-0.000550,0.033180,-5.471835,0.020601,-0.059234,211.748077,-0.000014,0.003849,0.000000,0.000000,0.000000,0.000000
-4.380000,-3.097656,0.000000,-0.000106,-0.063401,0.000000,-0.000536,0.064807,-3.122719,0.016752,-0.115696,120.842400,0.000116,0.001968,0.000000,0.000000,0.000000,0.000000
-3.060000,1.910704,0.000000,-0.000138,-0.044294,0.000000,-0.000653,0.046175,1.939237,0.014783,-0.112259,-55.105293,0.000161,-0.001351,0.000000,0.000000,0.000000,0.000000
4.130000,10.407543,0.000000,-0.000110,0.059782,0.000000,-0.000814,-0.064372,10.665080,0.016134,0.196113,-241.844849,0.000028,-0.004046,0.000000,0.000000,0.000000,0.000000
5.950000,2.634454,0.000000,0.000242,0.086126,0.000000,-0.000842,-0.095444,2.730375,0.020181,0.346041,-52.026257,-0.000207,-0.000042,0.000000,0.000000,0.000000,0.000000
0.940000,-7.251988,0.000000,0.000675,0.013607,0.000000,-0.000635,-0.014942,-7.625485,0.020222,0.062224,126.506668,-0.000184,0.002564,0.000000,0.000000,0.000000,0.000000
0.760000,-0.260550,0.000000,0.000894,0.011001,0.000000,-0.000451,-0.012205,-0.279877,0.017658,0.056876,4.149275,-0.000038,0.000228,0.000000,0.000000,0.000000,0.000000
-1.270000,-2.938430,0.000000,0.001112,-0.018383,0.000000,-0.000413,0.024723,-3.198488,0.017431,-0.126374,43.229164,0.000006,0.000476,0.000000,0.000000,0.000000,0.000000
-7.860000,-9.539042,0.000000,0.001251,-0.113774,0.000000,-0.000419,0.153838,-10.591699,0.016954,-0.849079,132.575439,0.000216,0.000213,0.000000,0.000000,0.000000,0.000000
-2.820000,7.295413,0.000000,0.001121,-0.040820,0.000000,-0.000635,0.059386,8.279144,0.016742,-0.349456,-97.197655,0.000317,-0.002786,0.000000,0.000000,0.000000,0.000000
-0.540000,3.300306,0.000000,0.001209,-0.007817,0.000000,-0.000952,0.013576,3.835582,0.019528,-0.084299,-42.675098,0.000109,-0.001031,0.000000,0.000000,0.000000,0.000000
