0.473771,0.000569,0.000000,-0.064653,-0.000000,ovf,0.000003,-0.000000,-0.000000,-198.274826,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
0.770000,-6.976962,0.000000,0.002253,0.011146,0.000000,0.000914,-0.011894,-7.747455,0.009643,0.065647,96.974281,-0.000179,0.002019,0.000000,0.000000,0.000000,0.000000
5.120000,6.296636,0.000000,0.002467,0.074112,0.000000,0.001093,-0.101447,7.145206,0.007624,0.596966,-83.885147,-0.000139,0.000023,0.000000,0.000000,0.000000,0.000000
3.030000,-3.025280,0.000000,0.002880,0.043859,0.000000,0.001232,-0.061644,-3.521591,0.007601,0.382760,39.181599,-0.000233,0.001777,0.000000,0.000000,0.000000,0.000000
-5.940000,-12.014272,0.000000,-0.000843,-0.085982,0.000000,-0.001540,0.087245,-12.110569,0.030396,-0.155753,468.652557,0.000007,0.008449,0.000000,0.000000,0.000000,0.000000
-2.450000,5.051784,0.000000,-0.001003,-0.035464,0.000000,-0.001547,0.035284,5.091441,0.021947,-0.062990,-197.027634,0.000192,-0.003917,0.000000,0.000000,0.000000,0.000000
-3.230000,-1.129052,0.000000,-0.000867,-0.046754,0.000000,-0.001739,0.047986,-1.147045,0.025863,-0.116664,32.594395,0.000108,0.000309,0.000000,0.000000,0.000000,0.000000
-2.280000,1.375127,0.000000,-0.000774,-0.033003,0.000000,-0.001847,0.034640,1.408232,0.025555,-0.105534,-31.933525,0.000120,-0.000891,0.000000,0.000000,0.000000,0.000000
-4.630000,-3.401631,0.000000,-0.000643,-0.067019,0.000000,-0.001967,0.073764,-3.528170,0.026445,-0.267438,67.227943,0.000133,0.000551,0.000000,0.000000,0.000000,0.000000
5.710000,14.967176,0.000000,-0.000622,0.082652,0.000000,-0.002099,-0.096222,15.733726,0.025894,0.400690,-261.022247,0.000037,-0.003860,0.000000,0.000000,0.000000,0.000000
-2.880000,-12.434047,0.000000,-0.000157,-0.041688,0.000000,-0.002137,0.050155,-13.285246,0.029754,-0.233717,196.958618,-0.000116,0.003104,0.000000,0.000000,0.000000,0.000000
-0.910000,2.851580,0.000000,-0.000062,-0.013172,0.000000,-0.002021,0.016626,3.100240,0.026649,-0.084983,-41.901302,0.000104,-0.001029,0.000000,0.000000,0.000000,0.000000
-0.200000,1.027727,0.000000,0.000116,-0.002895,0.000000,-0.002125,0.004027,1.138634,0.027678,-0.022226,-14.252191,0.000032,-0.000328,0.000000,0.000000,0.000000,0.000000
0.080000,0.405301,0.000000,0.000324,0.001158,0.000000,-0.002157,-0.001181,0.457460,0.028006,0.006951,-5.370613,0.000005,-0.000082,0.000000,0.000000,0.000000,0.000000
