0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-2.430000,-3.966157,0.000000,0.000458,-0.035174,0.000000,-0.001416,0.050453,-4.504234,0.020415,-0.296893,52.879986,0.000051,0.000200,0.000000,0.000000,0.000000,0.000000
0.840000,4.733334,0.000000,0.000527,0.012159,0.000000,-0.001467,-0.017498,5.502747,0.020215,0.108651,-61.224144,0.000057,-0.000866,0.000000,0.000000,0.000000,0.000000
-6.210000,-7.802039,0.000000,-0.000271,-0.089890,0.000000,-0.000723,0.091808,-7.864580,0.019492,-0.163898,304.342102,0.000099,0.005321,0.000000,0.000000,0.000000,0.000000
-3.000000,4.646483,0.000000,-0.000467,-0.043425,0.000000,-0.000822,0.043985,4.683092,0.014171,-0.078523,-181.225418,0.000207,-0.003654,0.000000,0.000000,0.000000,0.000000
-4.660000,-2.402854,0.000000,-0.000421,-0.067454,0.000000,-0.001030,0.070098,-2.439965,0.017824,-0.170422,69.333961,0.000143,0.000859,0.000000,0.000000,0.000000,0.000000
5.940000,15.343528,0.000000,-0.000456,0.085982,0.000000,-0.001173,-0.092904,15.723550,0.016966,0.283036,-356.552338,0.000046,-0.005987,0.000000,0.000000,0.000000,0.000000
9.190000,4.704383,0.000000,-0.000016,0.133025,0.000000,-0.001219,-0.147849,4.876452,0.022953,0.536042,-92.918930,-0.000308,-0.000298,0.000000,0.000000,0.000000,0.000000
-5.200000,-20.829561,0.000000,0.000566,-0.075270,0.000000,-0.000911,0.087627,-21.899841,0.023252,-0.364901,363.318024,-0.000177,0.005893,0.000000,0.000000,0.000000,0.000000
1.230000,9.307442,0.000000,0.000527,0.017804,0.000000,-0.000734,-0.020864,9.941773,0.017359,0.097226,-147.390411,0.000132,-0.002539,0.000000,0.000000,0.000000,0.000000
-0.340000,-2.272579,0.000000,0.000768,-0.004922,0.000000,-0.000866,0.007215,-2.474138,0.019897,-0.036882,33.439217,-0.000028,0.000538,0.000000,0.000000,0.000000,0.000000
-4.310000,-5.746585,0.000000,0.000947,-0.062387,0.000000,-0.000839,0.084705,-6.381579,0.019359,-0.467513,79.877724,0.000108,0.000247,0.000000,0.000000,0.000000,0.000000
2.000000,9.133740,0.000000,0.000964,0.028950,0.000000,-0.000947,-0.039627,10.365825,0.019112,0.233187,-121.695396,0.000089,-0.001674,0.000000,0.000000,0.000000,0.000000
4.320000,3.358206,0.000000,0.001252,0.062532,0.000000,-0.001036,-0.092182,3.902773,0.020786,0.572381,-43.422668,-0.000176,0.000729,0.000000,0.000000,0.000000,0.000000
