-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
-1.470000,-1.360653,0.000000,-0.001630,-0.021278,0.000000,-0.002949,0.020547,-1.382578,0.039521,-0.049955,39.287300,0.000029,0.000616,0.000000,0.000000,0.000000,0.000000
3.360000,6.991437,0.000000,-0.001357,0.048636,0.000000,-0.002978,-0.053733,7.163390,0.038905,0.163699,-162.439362,-0.000010,-0.002634,0.000000,0.000000,0.000000,0.000000
1.590000,-2.562079,0.000000,-0.000876,0.023015,0.000000,-0.002968,-0.026551,-2.658439,0.041539,0.096262,50.655548,-0.000122,0.001224,0.000000,0.000000,0.000000,0.000000
-4.340000,-8.583691,0.000000,-0.000481,-0.062822,0.000000,-0.002846,0.072033,-9.026390,0.040315,-0.299963,149.747635,0.000024,0.002022,0.000000,0.000000,0.000000,0.000000
-4.730000,-0.564526,0.000000,-0.000347,-0.068467,0.000000,-0.002871,0.082264,-0.605534,0.038293,-0.383342,8.977270,0.000211,-0.000871,0.000000,0.000000,0.000000,0.000000
3.710000,12.216922,0.000000,-0.000233,0.053702,0.000000,-0.003082,-0.068399,13.287781,0.039163,0.349620,-179.591034,0.000066,-0.002453,0.000000,0.000000,0.000000,0.000000
-7.140000,-15.705402,0.000000,0.000237,-0.103352,0.000000,-0.003148,0.138543,-17.438551,0.041617,-0.764660,218.276962,0.000044,0.002069,0.000000,0.000000,0.000000,0.000000
17.170000,35.188786,0.000000,0.000250,0.248536,0.000000,-0.003192,-0.351564,39.940891,0.039547,2.068781,-468.908478,-0.000195,-0.003287,0.000000,0.000000,0.000000,0.000000
-0.360000,0.231600,0.000000,-0.000832,-0.005211,0.000000,-0.001775,0.004583,0.232420,0.040910,-0.008181,-8.994140,0.000017,-0.000186,0.000000,0.000000,0.000000,0.000000
-3.110000,-3.980632,0.000000,-0.000748,-0.045017,0.000000,-0.001792,0.045327,-4.013316,0.041096,-0.080920,155.306564,0.000047,0.002722,0.000000,0.000000,0.000000,0.000000
-4.000000,-1.288277,0.000000,-0.000511,-0.057900,0.000000,-0.001839,0.060014,-1.309163,0.038374,-0.145905,37.201130,0.000137,0.000305,0.000000,0.000000,0.000000,0.000000
-12.870000,-12.839348,0.000000,-0.000320,-0.186294,0.000000,-0.001976,0.199885,-13.159551,0.038069,-0.608959,298.410248,0.000291,0.004003,0.000000,0.000000,0.000000,0.000000
-13.950000,-1.563303,0.000000,-0.000533,-0.201927,0.000000,-0.002268,0.223808,-1.622557,0.034067,-0.811440,30.917208,0.000574,-0.001617,0.000000,0.000000,0.000000,0.000000
6.890000,30.165953,0.000000,-0.000798,0.099733,0.000000,-0.002842,-0.116162,31.711775,0.035684,0.483724,-526.097778,0.000285,-0.008650,0.000000,0.000000,0.000000,0.000000
2.020000,-7.049337,0.000000,-0.000165,0.029240,0.000000,-0.003127,-0.035510,-7.533739,0.044334,0.165473,111.690422,-0.000239,0.002578,0.000000,0.000000,0.000000,0.000000
-0.690000,-3.922732,0.000000,0.000256,-0.009988,0.000000,-0.002888,0.012990,-4.270680,0.041756,-0.066401,57.720394,-0.000045,0.000909,0.000000,0.000000,0.000000,0.000000
8.600000,13.447300,0.000000,0.000563,0.124485,0.000000,-0.002842,-0.165738,14.924697,0.040847,0.914758,-186.811249,-0.000166,-0.001065,0.000000,0.000000,0.000000,0.000000
3.770000,-6.991438,0.000000,0.001265,0.054571,0.000000,-0.002677,-0.075480,-7.940776,0.041912,0.444160,93.225182,-0.000354,0.002969,0.000000,0.000000,0.000000,0.000000
