0.236882,0.129960,0.000000,nan,-0.000000,ovf,0.000003,-0.000000,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
-0.030000,2.127829,0.000000,-0.000161,-0.000434,0.000000,-0.000540,0.000320,2.144336,0.016299,-0.000571,-82.981110,0.000041,-0.001571,0.000000,0.000000,0.000000,0.000000
-6.320000,-9.104792,0.000000,-0.000123,-0.091482,0.000000,-0.000582,0.093543,-9.177657,0.017869,-0.166995,355.155304,0.000079,0.006276,0.000000,0.000000,0.000000,0.000000
0.360000,9.669317,0.000000,-0.000264,0.005211,0.000000,-0.000661,-0.005726,9.815899,0.011593,0.013921,-278.928253,0.000170,-0.005255,0.000000,0.000000,0.000000,0.000000
-1.840000,-3.184506,0.000000,-0.000095,-0.026634,0.000000,-0.000831,0.028525,-3.264249,0.016849,-0.086902,74.021179,0.000015,0.001176,0.000000,0.000000,0.000000,0.000000
6.600000,12.216922,0.000000,-0.000026,0.095535,0.000000,-0.000846,-0.106197,12.666074,0.015672,0.385029,-241.347214,-0.000047,-0.003531,0.000000,0.000000,0.000000,0.000000
7.490000,1.288277,0.000000,0.000415,0.108418,0.000000,-0.000799,-0.124795,1.353098,0.019203,0.519677,-22.447865,-0.000312,0.000987,0.000000,0.000000,0.000000,0.000000
-3.950000,-16.559429,0.000000,0.000896,-0.057176,0.000000,-0.000487,0.070131,-17.692017,0.018216,-0.326801,262.290588,-0.000145,0.004081,0.000000,0.000000,0.000000,0.000000
-1.850000,3.039755,0.000000,0.000893,-0.026779,0.000000,-0.000342,0.035092,3.305420,0.014135,-0.179371,-44.674419,0.000158,-0.001339,0.000000,0.000000,0.000000,0.000000
-0.950000,1.302752,0.000000,0.000985,-0.013751,0.000000,-0.000500,0.019709,1.444411,0.015474,-0.108778,-18.079580,0.000080,-0.000634,0.000000,0.000000,0.000000,0.000000
1.190000,3.097656,0.000000,0.001121,0.017225,0.000000,-0.000580,-0.022803,3.514126,0.016108,0.134183,-41.256050,0.000005,-0.000417,0.000000,0.000000,0.000000,0.000000
0.870000,-0.463201,0.000000,0.001354,0.012593,0.000000,-0.000585,-0.016906,-0.541338,0.016525,0.104976,6.022989,-0.000056,0.000399,0.000000,0.000000,0.000000,0.000000
-5.630000,-9.350866,0.000000,-0.000450,-0.081494,0.000000,-0.000989,0.083038,-9.425817,0.023354,-0.148241,364.758545,0.000046,0.006505,0.000000,0.000000,0.000000,0.000000
-3.920000,2.475230,0.000000,-0.000614,-0.056742,0.000000,-0.001035,0.057469,2.494508,0.016849,-0.102596,-96.532036,0.000203,-0.002117,0.000000,0.000000,0.000000,0.000000
-5.870000,-2.822630,0.000000,-0.000596,-0.084968,0.000000,-0.001238,0.088231,-2.866145,0.018966,-0.214505,81.444290,0.000184,0.000966,0.000000,0.000000,0.000000,0.000000
-1.200000,6.759837,0.000000,-0.000675,-0.017370,0.000000,-0.001422,0.017944,6.926866,0.018000,-0.054667,-157.075851,0.000179,-0.003124,0.000000,0.000000,0.000000,0.000000
6.340000,10.914169,0.000000,-0.000547,0.091772,0.000000,-0.001601,-0.102594,11.315163,0.021124,0.371966,-215.606125,-0.000064,-0.003071,0.000000,0.000000,0.000000,0.000000
3.830000,-3.633232,0.000000,-0.000092,0.055439,0.000000,-0.001538,-0.064165,-3.821076,0.024195,0.267197,63.391579,-0.000246,0.001929,0.000000,0.000000,0.000000,0.000000
