-0.237863,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061435,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000011,ovf,0.000000,-0.000000
-13.510000,-30.151478,0.000000,0.002208,-0.195558,0.000000,0.001455,0.250798,-32.802589,0.003866,-1.281954,443.343506,0.000058,0.004926,0.000000,0.000000,0.000000,0.000000
-1.440000,17.471355,0.000000,0.001756,-0.020844,0.000000,0.001397,0.030226,19.394579,-0.001060,-0.166824,-242.760391,0.000449,-0.005057,0.000000,0.000000,0.000000,0.000000
3.310000,6.875638,0.000000,0.001825,0.047912,0.000000,0.000948,-0.065258,7.803223,0.003997,0.384010,-91.610306,-0.000030,-0.000687,0.000000,0.000000,0.000000,0.000000
0.120000,-4.617533,0.000000,0.002105,0.001737,0.000000,0.000978,0.000553,-5.372515,0.004684,-0.003433,59.775162,-0.000100,0.001124,0.000000,0.000000,0.000000,0.000000
-3.340000,-4.834659,0.000000,-0.000419,-0.048347,0.000000,-0.000903,0.049124,-4.873633,0.021006,-0.087697,188.598984,0.000041,0.003332,0.000000,0.000000,0.000000,0.000000
2.600000,8.598166,0.000000,-0.000499,0.037635,0.000000,-0.000944,-0.039045,8.666113,0.017674,0.069705,-335.359619,0.000058,-0.006168,0.000000,0.000000,0.000000,0.000000
1.520000,-1.563303,0.000000,-0.000171,0.022002,0.000000,-0.001003,-0.023187,-1.587887,0.023842,0.056372,45.121353,-0.000093,0.001018,0.000000,0.000000,0.000000,0.000000
6.950000,7.859938,0.000000,0.000104,0.100601,0.000000,-0.000910,-0.108015,8.053937,0.022824,0.329072,-182.633713,-0.000140,-0.002570,0.000000,0.000000,0.000000,0.000000
-3.120000,-14.576350,0.000000,0.000625,-0.045162,0.000000,-0.000770,0.050883,-15.114685,0.025394,-0.184482,288.004547,-0.000148,0.004959,0.000000,0.000000,0.000000,0.000000
1.850000,7.194088,0.000000,0.000705,0.026779,0.000000,-0.000622,-0.030128,7.561763,0.020435,0.125460,-125.449516,0.000062,-0.002045,0.000000,0.000000,0.000000,0.000000
-0.620000,-3.575331,0.000000,0.001005,-0.008975,0.000000,-0.000684,0.012052,-3.821426,0.022480,-0.056161,56.654037,-0.000040,0.000925,0.000000,0.000000,0.000000,0.000000
-6.540000,-8.569216,0.000000,0.001206,-0.094667,0.000000,-0.000644,0.121581,-9.324467,0.021555,-0.621463,126.024849,0.000152,0.000704,0.000000,0.000000,0.000000,0.000000
10.630000,18.426708,0.000000,-0.000792,0.153870,0.000000,-0.001450,-0.158289,18.572546,0.028705,0.282582,-718.716980,-0.000077,-0.012846,0.000000,0.000000,0.000000,0.000000
3.100000,-10.899694,0.000000,-0.000306,0.044873,0.000000,-0.001373,-0.046259,-10.987438,0.041551,0.082582,425.189880,-0.000333,0.008298,0.000000,0.000000,0.000000,0.000000
-9.180000,-17.775331,0.000000,0.000136,-0.132881,0.000000,-0.001040,0.139101,-18.046684,0.033253,-0.338179,512.814026,0.000035,0.008780,0.000000,0.000000,0.000000,0.000000
-8.210000,1.404078,0.000000,0.000004,-0.118840,0.000000,-0.001075,0.127734,1.437836,0.024473,-0.389149,-32.604843,0.000373,-0.001686,0.000000,0.000000,0.000000,0.000000
0.890000,13.172274,0.000000,-0.000083,0.012883,0.000000,-0.001448,-0.014409,13.656074,0.026159,0.052242,-260.211304,0.000219,-0.004783,0.000000,0.000000,0.000000,0.000000
5.870000,7.208563,0.000000,0.000229,0.084968,0.000000,-0.001667,-0.097914,7.576486,0.030942,0.407737,-125.693756,-0.000122,-0.001268,0.000000,0.000000,0.000000,0.000000
-1.410000,-10.537818,0.000000,0.000758,-0.020410,0.000000,-0.001545,0.025563,-11.260017,0.032210,-0.119122,166.933853,-0.000144,0.002841,0.000000,0.000000,0.000000,0.000000
-3.310000,-2.750255,0.000000,0.000979,-0.047912,0.000000,-0.001401,0.062002,-2.994594,0.029369,-0.316923,40.473450,0.000111,-0.000096,0.000000,0.000000,0.000000,0.000000
7.110000,8.960041,0.000000,-0.000596,0.102917,0.000000,-0.001415,-0.105901,9.030408,0.035431,0.189057,-349.457092,-0.000116,-0.006105,0.000000,0.000000,0.000000,0.000000
11.120000,5.804485,0.000000,-0.000232,0.160962,0.000000,-0.001300,-0.165046,5.849586,0.041537,0.294645,-226.366165,-0.000335,-0.003478,0.000000,0.000000,0.000000,0.000000
-4.150000,-22.103363,0.000000,0.000648,-0.060071,0.000000,-0.000964,0.063497,-22.440958,0.045015,-0.154372,637.681580,-0.000253,0.011663,0.000000,0.000000,0.000000,0.000000
-3.150000,1.447502,0.000000,0.000816,-0.045596,0.000000,-0.000712,0.049884,1.481829,0.033351,-0.151974,-33.602444,0.000163,-0.001069,0.000000,0.000000,0.000000,0.000000
0.120000,4.733334,0.000000,0.001035,0.001737,0.000000,-0.000875,-0.000780,4.905644,0.034420,0.002829,-93.475182,0.000090,-0.001760,0.000000,0.000000,0.000000,0.000000
