ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-12998235.000000,0.000000,ovf,-1037553.437500,ovf,-0.000001,ovf,0.000000,-0.000000,ovf,ovf,ovf
-5.580000,-7.396739,0.000000,0.001423,-0.080771,0.000000,-0.001992,0.109929,-8.215260,0.038253,-0.606731,102.829750,0.000142,0.000304,0.000000,0.000000,0.000000,0.000000
1.200000,9.814068,0.000000,0.001556,0.017370,0.000000,-0.002134,-0.022393,11.136072,0.037949,0.131769,-130.738159,0.000150,-0.002120,0.000000,0.000000,0.000000,0.000000
-1.990000,-4.617533,0.000000,0.001982,-0.028805,0.000000,-0.002284,0.046312,-5.375592,0.040069,-0.287564,59.809402,0.000023,0.000359,0.000000,0.000000,0.000000,0.000000
-4.810000,-11.290520,0.000000,-0.001815,-0.069625,0.000000,-0.002816,0.069533,-11.381372,0.044183,-0.124133,440.434296,-0.000027,0.008003,0.000000,0.000000,0.000000,0.000000
-0.810000,5.790010,0.000000,-0.001898,-0.011725,0.000000,-0.002789,0.010061,5.835213,0.036180,-0.017962,-225.809982,0.000138,-0.004339,0.000000,0.000000,0.000000,0.000000
-2.570000,-2.547604,0.000000,-0.001569,-0.037201,0.000000,-0.002927,0.037261,-2.587611,0.040519,-0.090589,73.529472,0.000052,0.001155,0.000000,0.000000,0.000000,0.000000
-6.300000,-5.399185,0.000000,-0.001335,-0.091193,0.000000,-0.002978,0.096579,-5.534693,0.039364,-0.294233,125.506508,0.000156,0.001578,0.000000,0.000000,0.000000,0.000000
1.010000,10.581244,0.000000,-0.001280,0.014620,0.000000,-0.003134,-0.017669,10.969255,0.037786,0.064061,-209.015015,0.000160,-0.003787,0.000000,0.000000,0.000000,0.000000
-0.460000,-2.127829,0.000000,-0.000911,-0.006659,0.000000,-0.003294,0.006641,-2.239244,0.041573,-0.027656,37.149021,-0.000025,0.000636,0.000000,0.000000,0.000000,0.000000
-2.490000,-2.938430,0.000000,-0.000614,-0.036043,0.000000,-0.003269,0.042786,-3.141655,0.040937,-0.199377,46.576180,0.000056,0.000341,0.000000,0.000000,0.000000,0.000000
-2.850000,-0.521101,0.000000,-0.000408,-0.041254,0.000000,-0.003326,0.051798,-0.569704,0.040596,-0.264768,7.699834,0.000129,-0.000571,0.000000,0.000000,0.000000,0.000000
-3.550000,-1.013252,0.000000,-0.000222,-0.051386,0.000000,-0.003455,0.068429,-1.128002,0.041167,-0.377680,14.119113,0.000164,-0.000753,0.000000,0.000000,0.000000,0.000000
-3.100000,0.651376,0.000000,-0.000068,-0.044873,0.000000,-0.003618,0.063442,0.735885,0.041920,-0.373326,-8.639331,0.000185,-0.001172,0.000000,0.000000,0.000000,0.000000
-1.580000,-2.185729,0.000000,-0.001036,-0.022871,0.000000,-0.001736,0.022428,-2.203860,0.030702,-0.040040,85.284554,0.000019,0.001509,0.000000,0.000000,0.000000,0.000000
-6.980000,-7.816514,0.000000,-0.001024,-0.101036,0.000000,-0.001755,0.102401,-7.879384,0.029193,-0.182810,304.914948,0.000128,0.005276,0.000000,0.000000,0.000000,0.000000
2.690000,13.997350,0.000000,-0.001089,0.038938,0.000000,-0.001883,-0.041857,14.209353,0.023917,0.101762,-403.772491,0.000156,-0.007380,0.000000,0.000000,0.000000,0.000000
6.460000,5.457084,0.000000,-0.000707,0.093509,0.000000,-0.002038,-0.101264,5.591208,0.031297,0.308505,-126.788055,-0.000168,-0.001553,0.000000,0.000000,0.000000,0.000000
5.690000,-1.114577,0.000000,-0.000162,0.082363,0.000000,-0.001870,-0.091710,-1.157318,0.032850,0.332505,22.052252,-0.000270,0.001320,0.000000,0.000000,0.000000,0.000000
1.910000,-5.471560,0.000000,0.000347,0.027647,0.000000,-0.001600,-0.031545,-5.754293,0.031530,0.131361,95.463631,-0.000194,0.002161,0.000000,0.000000,0.000000,0.000000
0.970000,-1.360652,0.000000,0.000694,0.014041,0.000000,-0.001407,-0.016118,-1.455830,0.029369,0.075110,21.583208,-0.000071,0.000608,0.000000,0.000000,0.000000,0.000000
1.620000,0.940877,0.000000,0.001005,0.023450,0.000000,-0.001336,-0.028464,1.020952,0.028761,0.145491,-13.798687,-0.000058,0.000131,0.000000,0.000000,0.000000,0.000000
