ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-50759.355469,0.000000,ovf,ovf,ovf,-0.000000,ovf,0.000000,-0.000000,ovf,ovf,ovf
8.090000,12.795922,0.000000,0.000092,0.117103,0.000000,-0.003476,-0.165683,14.521645,0.041570,0.974964,-170.484985,-0.000173,-0.000592,0.000000,0.000000,0.000000,0.000000
2.470000,-8.134964,0.000000,0.000732,0.035753,0.000000,-0.003303,-0.052682,-9.465606,0.042162,0.327112,105.315331,-0.000321,0.002880,0.000000,0.000000,0.000000,0.000000
-6.690000,-7.324363,0.000000,-0.001277,-0.096838,0.000000,-0.002060,0.097925,-7.383446,0.034432,-0.174819,285.723236,0.000126,0.004932,0.000000,0.000000,0.000000,0.000000
-2.790000,5.645260,0.000000,-0.001458,-0.040385,0.000000,-0.002186,0.039858,5.689463,0.029500,-0.071156,-220.169785,0.000215,-0.004371,0.000000,0.000000,0.000000,0.000000
-2.850000,-0.086850,0.000000,-0.001264,-0.041254,0.000000,-0.002401,0.041818,-0.089249,0.033871,-0.101668,2.536094,0.000111,-0.000219,0.000000,0.000000,0.000000,0.000000
-3.710000,-1.244852,0.000000,-0.001084,-0.053702,0.000000,-0.002512,0.056554,-1.277086,0.034090,-0.172294,28.959629,0.000129,0.000083,0.000000,0.000000,0.000000,0.000000
-1.320000,3.459531,0.000000,-0.000951,-0.019107,0.000000,-0.002641,0.020176,3.585367,0.034007,-0.073152,-68.317818,0.000122,-0.001492,0.000000,0.000000,0.000000,0.000000
7.280000,12.448523,0.000000,-0.000720,0.105378,0.000000,-0.002763,-0.122594,13.085296,0.035499,0.510511,-217.084824,-0.000084,-0.002727,0.000000,0.000000,0.000000,0.000000
-4.410000,-16.921305,0.000000,-0.000121,-0.063835,0.000000,-0.002679,0.076943,-18.079573,0.038226,-0.358546,268.036255,-0.000134,0.004110,0.000000,0.000000,0.000000,0.000000
-1.970000,3.531906,0.000000,-0.000026,-0.028516,0.000000,-0.002545,0.036129,3.839785,0.034115,-0.184675,-51.896622,0.000171,-0.001490,0.000000,0.000000,0.000000,0.000000
0.130000,3.039755,0.000000,0.000173,0.001882,0.000000,-0.002716,-0.002286,3.371587,0.035605,0.012617,-42.201881,0.000057,-0.000762,0.000000,0.000000,0.000000,0.000000
0.070000,-23.970642,0.000000,-0.001297,0.001013,0.000000,-0.002016,-0.002292,-24.162039,0.031709,0.004091,935.018188,-0.000464,0.017717,0.000000,0.000000,0.000000,0.000000
-3.930000,-5.790010,0.000000,-0.001219,-0.056887,0.000000,-0.001552,0.056998,-5.836362,0.013992,-0.101755,225.854446,0.000045,0.003969,0.000000,0.000000,0.000000,0.000000
-3.050000,1.273803,0.000000,-0.001301,-0.044149,0.000000,-0.001597,0.044808,1.292927,0.010023,-0.108936,-36.739765,0.000146,-0.000998,0.000000,0.000000,0.000000,0.000000
-3.130000,-0.115801,0.000000,-0.001350,-0.045307,0.000000,-0.001742,0.047245,-0.118965,0.011021,-0.143933,2.697685,0.000125,-0.000336,0.000000,0.000000,0.000000,0.000000
2.940000,8.786341,0.000000,-0.001413,0.042557,0.000000,-0.001867,-0.048863,9.109658,0.011358,0.177159,-173.581085,0.000040,-0.002807,0.000000,0.000000,0.000000,0.000000
-3.610000,-9.481142,0.000000,-0.001218,-0.052255,0.000000,-0.001908,0.058972,-9.968097,0.014164,-0.245575,165.370560,-0.000029,0.002472,0.000000,0.000000,0.000000,0.000000
0.760000,6.325586,0.000000,-0.001316,0.011001,0.000000,-0.001878,-0.014874,6.757338,0.011692,0.069313,-100.179993,0.000088,-0.001714,0.000000,0.000000,0.000000,0.000000
-3.080000,-5.558410,0.000000,-0.001235,-0.044583,0.000000,-0.001966,0.054972,-6.047292,0.013406,-0.280988,81.732201,0.000034,0.000791,0.000000,0.000000,0.000000,0.000000
-4.330000,-1.809379,0.000000,-0.001327,-0.062677,0.000000,-0.002000,0.082052,-2.008876,0.012616,-0.452866,25.144945,0.000184,-0.000750,0.000000,0.000000,0.000000,0.000000
1.330000,8.192864,0.000000,-0.001480,0.019252,0.000000,-0.002184,-0.029356,9.300016,0.013366,0.172745,-109.182747,0.000096,-0.001599,0.000000,0.000000,0.000000,0.000000
2.830000,2.171254,0.000000,-0.001407,0.040964,0.000000,-0.002280,-0.063738,2.525068,0.014965,0.395763,-28.094172,-0.000125,0.000542,0.000000,0.000000,0.000000,0.000000
0.820000,-2.909480,0.000000,-0.001281,0.011870,0.000000,-0.002155,-0.021080,-3.473721,0.014423,0.136940,36.942459,-0.000123,0.001069,0.000000,0.000000,0.000000,0.000000
0.370000,8.873191,0.000000,0.001816,0.005356,0.000000,0.001823,-0.003621,8.943719,-0.001815,0.006465,-346.102386,0.000160,-0.006538,0.000000,0.000000,0.000000,0.000000
-2.550000,-4.226707,0.000000,0.001828,-0.036911,0.000000,0.001664,0.039665,-4.260530,0.004722,-0.070812,164.873215,0.000026,0.002942,0.000000,0.000000,0.000000,0.000000
